"TIME","WideBPF","Vin"
0.005241015615,-0.940139,-0.873671
0.005276152156,0.0890565,0.168986
0.005311288696,1.11407,1.20426
0.005346425237,2.0901,2.1869
0.005381561778,2.9745,3.07396
0.005416698318,3.72862,3.82668
0.005451834859,4.31951,4.41215
0.005486971399,4.72136,4.80479
0.00552210794,4.9166,4.98743
0.005557244481,4.8967,4.9521
0.005592381021,4.66253,4.70035
0.005627517562,4.22435,4.24316
0.005662654102,3.6013,3.60053
0.005697790643,2.82061,2.80053
0.005732927184,1.9164,1.87814
0.005768063724,0.928213,0.873671
0.005803200265,-0.100777,-0.168986
0.005838336805,-1.12559,-1.20426
0.005873473346,-2.10144,-2.1869
0.005908609887,-2.98567,-3.07396
0.005943746427,-3.73963,-3.82668
0.005978882968,-4.33037,-4.41215
0.006014019508,-4.73207,-4.80479
0.006049156049,-4.92718,-4.98743
0.00608429259,-4.90715,-4.9521
0.00611942913,-4.67288,-4.70035
0.006154565671,-4.23459,-4.24316
0.006189702211,-3.61144,-3.60053
0.006224838752,-2.83066,-2.80053
0.006259975292,-1.92638,-1.87814
0.006295111833,-0.938119,-0.873671
0.006330248374,0.0909369,0.168986
0.006365384914,1.11581,1.20426
0.006400521455,2.09171,2.1869
0.006435657995,2.97599,3.07396
0.006470794536,3.72999,3.82668
0.006505931077,4.32077,4.41215
0.006541067617,4.7225,4.80479
0.006576204158,4.91764,4.98743
0.006611340698,4.89764,4.9521
0.006646477239,4.66338,4.70035
0.00668161378,4.22511,4.24316
0.00671675032,3.60197,3.60053
0.006751886861,2.8212,2.80053
0.006787023401,1.91692,1.87814
0.006822159942,0.928656,0.873671
0.006857296483,-0.100401,-0.168986
0.006892433023,-1.12528,-1.20426
0.006927569564,-2.10118,-2.1869
0.006962706104,-2.98546,-3.07396
0.006997842645,-3.73948,-3.82668
0.007032979186,-4.33026,-4.41215
0.007068115726,-4.73201,-4.80479
0.007103252267,-4.92715,-4.98743
0.007138388807,-4.90716,-4.9521
0.007173525348,-4.67292,-4.70035
0.007208661889,-4.23466,-4.24316
0.007243798429,-3.61154,-3.60053
0.00727893497,-2.83079,-2.80053
0.00731407151,-1.92653,-1.87814
0.007349208051,-0.938281,-0.873671
0.007384344592,0.0907591,0.168986
0.007419481132,1.11562,1.20426
0.007454617673,2.09151,2.1869
0.007489754213,2.97577,3.07396
0.007524890754,3.72977,3.82668
0.007560027295,4.32054,4.41215
0.007595163835,4.72227,4.80479
0.007630300376,4.9174,4.98743
0.007665436916,4.8974,4.9521
0.007700573457,4.66314,4.70035
0.007735709998,4.22487,4.24316
0.007770846538,3.60173,3.60053
0.007805983079,2.82096,2.80053
0.007841119619,1.91668,1.87814
0.00787625616,0.928425,0.873671
0.007911392701,-0.100628,-0.168986
0.007946529241,-1.1255,-1.20426
0.007981665782,-2.1014,-2.1869
0.008016802322,-2.98568,-3.07396
0.008051938863,-3.73968,-3.82668
0.008087075404,-4.33046,-4.41215
0.008122211944,-4.7322,-4.80479
0.008157348485,-4.92734,-4.98743
0.008192485025,-4.90734,-4.9521
0.008227621566,-4.67309,-4.70035
0.008262758106,-4.23483,-4.24316
0.008297894647,-3.6117,-3.60053
0.008333031188,-2.83094,-2.80053
0.008368167728,-1.92667,-1.87814
0.008403304269,-0.938416,-0.873671
0.008438440809,0.090631,0.168986
0.00847357735,1.1155,1.20426
0.008508713891,2.09139,2.1869
0.008543850431,2.97567,3.07396
0.008578986972,3.72967,3.82668
0.008614123512,4.32045,4.41215
0.008649260053,4.72218,4.80479
0.008684396594,4.91732,4.98743
0.008719533134,4.89732,4.9521
0.008754669675,4.66307,4.70035
0.008789806215,4.2248,4.24316
0.008824942756,3.60167,3.60053
0.008860079297,2.8209,2.80053
0.008895215837,1.91663,1.87814
0.008930352378,0.92838,0.873671
0.008965488918,-0.100669,-0.168986
0.009000625459,-1.12554,-1.20426
0.009035762,-2.10143,-2.1869
0.00907089854,-2.98571,-3.07396
0.009106035081,-3.73971,-3.82668
0.009141171621,-4.33049,-4.41215
0.009176308162,-4.73222,-4.80479
0.009211444703,-4.92735,-4.98743
0.009246581243,-4.90736,-4.9521
