TIME,Bessel_2,butter_2,Cheby_2,Vin
0.001015096425,-0.0774242,-0.0555836,-0.0855553,4.06282
0.001018429759,-0.0822048,-0.0592206,-0.0879775,4.57996
0.001021763092,-0.0836501,-0.0608142,-0.0893534,4.89695
0.001025096425,-0.0816965,-0.0602907,-0.0896258,4.99991
0.001028429759,-0.0764288,-0.0576692,-0.0887846,4.88435
0.001031763092,-0.0680767,-0.0530601,-0.0868682,4.55532
0.001035096425,-0.0570047,-0.0466611,-0.0839611,4.02721
0.001038429759,-0.0436963,-0.0387476,-0.0801906,3.32308
0.001041763092,-0.0287324,-0.0296616,-0.0757213,2.47372
0.001045096425,-0.0127666,-0.0197962,-0.0707476,1.51625
0.001048429759,0.00350388,-0.00957836,-0.0654852,0.492506
0.001051763092,0.0193685,0.000549297,-0.0601623,-0.55276
0.001055096425,0.0341343,0.0101482,-0.0550089,-1.57387
0.001058429759,0.0471567,0.018803,-0.0502469,-2.52619
0.001061763092,0.0578669,0.0261394,-0.0460809,-3.3681
0.001065096425,0.0657973,0.0318409,-0.0426886,-4.06282
0.001068429759,0.070602,0.0356624,-0.0402136,-4.57996
0.001071763092,0.0720715,0.0374408,-0.0387587,-4.89695
0.001075096425,0.070142,0.0371027,-0.0383818,-4.99991
0.001078429759,0.0648984,0.0346667,-0.0390929,-4.88435
0.001081763092,0.0565704,0.0302435,-0.0408542,-4.55532
0.001085096425,0.0455225,0.0240303,-0.0435814,-4.02721
0.001088429759,0.032238,0.0163028,-0.0471475,-3.32308
0.001091763092,0.017298,0.00740271,-0.0513883,-2.47372
0.001095096425,0.001356,-0.00227699,-0.0561098,-1.51625
0.001098429759,-0.0148908,-0.0123092,-0.0610964,-0.492506
0.001101763092,-0.0307317,-0.0222516,-0.0661204,0.55276
0.001105096425,-0.0454741,-0.0316656,-0.0709522,1.57387
0.001108429759,-0.0584731,-0.0401359,-0.0753701,2.52619
0.001111763092,-0.06916,-0.0472882,-0.0791698,3.3681
0.001115096425,-0.0770674,-0.0528062,-0.082174,4.06282
0.001118429759,-0.0818492,-0.0564448,-0.0842395,4.57996
0.001121763092,-0.0832959,-0.0580411,-0.0852637,4.89695
0.001125096425,-0.0813439,-0.0575215,-0.0851892,4.99991
0.001128429759,-0.0760779,-0.0549049,-0.0840062,4.88435
0.001131763092,-0.0677278,-0.0503019,-0.081753,4.55532
0.001135096425,-0.0566579,-0.0439098,-0.0785141,4.02721
0.001138429759,-0.0433516,-0.0360044,-0.0744169,3.32308
0.001141763092,-0.0283901,-0.0269273,-0.0696258,2.47372
0.001145096425,-0.0124268,-0.0170717,-0.0643354,1.51625
0.001148429759,0.00384111,-0.00686464,-0.0587615,0.492506
0.001151763092,0.019703,0.00325141,-0.0531321,-0.55276
0.001155096425,0.034466,0.0128379,-0.0476773,-1.57387
0.001158429759,0.0474854,0.0214794,-0.042619,-2.52619
0.001161763092,0.0581926,0.0288018,-0.0381618,-3.3681
0.001165096425,0.0661199,0.0344886,-0.0344835,-4.06282
0.001168429759,0.0709214,0.0382946,-0.0317277,-4.57996
0.001171763092,0.0723876,0.0400569,-0.029997,-4.89695
0.001175096425,0.0704548,0.039702,-0.0293495,-4.99991
0.001178429759,0.0652078,0.0372486,-0.0297951,-4.88435
0.001181763092,0.0568763,0.0328073,-0.0312961,-4.55532
0.001185096425,0.0458248,0.0265755,-0.0337681,-4.02721
0.001188429759,0.0325367,0.0188288,-0.0370841,-3.32308
0.001191763092,0.0175931,0.00990898,-0.04108,-2.47372
0.001195096425,0.00164746,0.000209064,-0.0455617,-1.51625
0.001198429759,-0.014603,-0.00984389,-0.0503136,-0.492506
0.001201763092,-0.0304477,-0.0198074,-0.0551081,0.55276
0.001205096425,-0.0451938,-0.029243,-0.0597155,1.57387
0.001208429759,-0.0581966,-0.0377353,-0.0639141,2.52619
0.001211763092,-0.0688874,-0.0449101,-0.0674996,3.3681
0.001215096425,-0.0767986,-0.0504509,-0.0702947,4.06282
0.001218429759,-0.0815842,-0.0541126,-0.0721561,4.57996
0.001221763092,-0.0830348,-0.0557324,-0.0729814,4.89695
0.001225096425,-0.0810866,-0.0552366,-0.072713,4.99991
0.001228429759,-0.0758245,-0.052644,-0.0713411,4.88435
0.001231763092,-0.0674782,-0.0480654,-0.068904,4.55532
0.001235096425,-0.0564122,-0.0416979,-0.0654863,4.02721
0.001238429759,-0.0431098,-0.0338173,-0.0612152,3.32308
0.001241763092,-0.0281521,-0.0247653,-0.0562553,2.47372
0.001245096425,-0.0121926,-0.014935,-0.0508009,1.51625
0.001248429759,0.00407139,-0.00475338,-0.045068,0.492506
0.001251763092,0.0199294,0.00533704,-0.0392845,-0.55276
0.001255096425,0.0346887,0.0148978,-0.0336805,-1.57387
0.001258429759,0.0477043,0.0235134,-0.0284779,-2.52619
0.001261763092,0.0584077,0.0308097,-0.0238812,-3.3681
